code,keyword,commentaire,ensemblid,ligne_es,digest_neo5,digest_neo3
E1,Tcf7,EPD0023_2_A12,ENSMUSG00000000782,C2,,
E1,Tcf7,EPD0023_2_D12,ENSMUSG00000000782,C2,,
E3,C1qbp,,,JM8,,
E4,Prpsap2,EPD0021_1_F09,ENSMUSG00000020528,JM8,"Mfe I,PacI","DrdI,HindIII"
E2,Agxt2l2,EPD0021_1_F05,ENSMUSG00000020359,JM8,"Dra I",SexAI
E5,Sfrs4,EPD0039_1_C07,ENSMUSG00000028911,JM8N4,"PshAI ,XhoI","Avr II ,ScaI/PvuI"
E6,Xbp1,EPD0038_2_B10,ENSMUSG00000020484,JM8N4,"Afl II","Ssp I,NheI"
E7,Ube2b,EPD0038_4_D01,ENSMUSG00000020390,JM8N4,"BstEII, Apa I","SpeI, Avr II"
E8,Limk2,EPD0040_1_B07,ENSMUSG00000020451,JM8N4,"NsiI, Hind III",PsHAI
E9,Grhl3,EPD0039_3_C02,ENSMUSG00000037188,JM8N4,"Apa I, Spe I","Drd I, Nsi I"
E10,Fabp3,EPD0061_1_C10," ENSMUSG00000028773",JM8N4,"Ase I, Psi I, Afl II","EcoRI, Sca I"
E14,Jmjd5,EPD0065_5_A04,ENSMUSG00000030752,JM8F6,"Afl II","Avr II"
E12,Ngfr,EPD0059_4_D03,ENSMUSG00000000120,JM8N4,"Apa I",EcoRI
E11,Ndufs3,EPD0057_2_A08,ENSMUSG00000005510,JM8F6,"Ase I","Avr II"
E13,Clk1,EPD0065_2_E04,"ENSMUSG00000026034  ",JM8F6,"Apa I","Drd I/Pme I"
E15,Fancb,EPD0057_4_A02,ENSMUSG00000047757,JM8,"Eco NI, Pml I","Bgl I, Nde I"
E18,Ap2b1,EUCF0048b04,ENSMUSG00000035152,JM8,,
E19,Magi1,EUCJ0019b08,ENSMUSG00000045095,JM8,,
E16,Aldh3a,EPD0060_2_A02,ENSMUSG00000010025,JM8,,
E17,B9d1,EPD0060_2_H09,ENSMUSG00000001039,JM8,"PshAI/Mfe I","Avr II"
E20,"Fam63a (4930504E06Rik)",EPD0057_1_H01,ENSMUSG00000078645,JM8F6,,
E21,C1qbp,EPD0038_2_B07,ENSMUSG00000018446,JM8N4,"AseI,ApaI","sspI,ecoNI"
E22,Ehbp1,EPD0059_1_C01,ENSMUSG00000042302,JM8N4,"Eco NI","Blp I"
E23,2008/09/01,EPD0060_3_G04,ENSMUSG00000018398,JM8N4,"Apa I","Avr II"
E24,Ttll1,EPD0066_2_A08,ENSMUSG00000022442,JM8F6,"Apa I",
E25,Limk2,EPD0040_1_C08,ENSMUSG00000020451,JM8N4,,
E26,Crcp,EPD0066_1_B08,ENSMUSG00000025532,JM8F6,"Afl II","Afl III"
E27,Ift20,EPD0066_2_F05,ENSMUSG00000001105,JM8F6,"Afl II","Age I"
E28,Pex10,,,JM8N4,,
E29,Bclaf1,EUCJ0013h06,ENSMUSG00000037608,,"Ase I, Avr II, Mfe I, Sca I",
E30,Ttf1,EUCJ0006h04,ENSMUSG00000026803,,"ApaI, Ase I, Dra I, Nsi I","AvrII,AflII HindIII PmlI/BspHI"
